datetime,000503,600533,cash,commission,total,returns,equity_curve,drawdown
2015-03-02,4217.0,462.8,2259.3,2.6,6939.1,-0.001022141602602944,0.06939099999999965,0.9306090000000004
2015-03-03,4046.0,457.9,2259.3,2.6,6763.200000000001,-0.025349108674035503,0.06763199999999966,0.9323680000000003
2015-03-04,4212.0,458.90000000000003,2259.3,2.6,6930.200000000001,0.02469245327655556,0.06930199999999966,0.9306980000000004
2015-03-05,4181.0,458.90000000000003,2259.3,2.6,6899.200000000001,-0.004473175377333938,0.06899199999999966,0.9310080000000003
2015-03-06,4097.0,457.9,2259.3,2.6,6814.200000000001,-0.012320269016697583,0.06814199999999968,0.9318580000000003
2015-03-09,4100.0,459.8,2259.3,2.6,6819.1,0.0007190866132487095,0.06819099999999967,0.9318090000000003
2015-03-10,4079.0,465.7,2259.3,2.6,6804.0,-0.0022143684650467454,0.06803999999999967,0.9319600000000003
2015-03-11,4050.0,467.69999999999993,2259.3,2.6,6777.0,-0.003968253968253954,0.06776999999999968,0.9322300000000003
2015-03-12,4070.0000000000005,483.5,2259.3,2.6,6812.800000000001,0.005282573410063662,0.06812799999999969,0.9318720000000003
2015-03-13,4100.0,479.5,2259.3,2.6,6838.8,0.0038163457022075686,0.06838799999999969,0.9316120000000003
2015-03-16,4364.0,491.3,2259.3,2.6,7114.6,0.040328712639644326,0.07114599999999967,0.9288540000000003
2015-03-17,4358.0,494.29999999999995,2259.3,2.6,7111.6,-0.0004216681190790661,0.07111599999999967,0.9288840000000004
2015-03-18,4420.0,507.09999999999997,2259.3,2.6,7186.4,0.01051802688565151,0.07186399999999965,0.9281360000000003
2015-03-19,4377.0,515.0,2259.3,2.6,7151.3,-0.004884225759768324,0.07151299999999966,0.9284870000000003
2015-03-20,4603.0,519.9,2259.3,2.6,7382.200000000001,0.03228783577811045,0.07382199999999967,0.9261780000000004
2015-03-23,4603.0,526.8,2259.3,2.6,7389.1,0.0009346807184849037,0.07389099999999965,0.9261090000000003
2015-03-24,4603.0,522.9,2259.3,2.6,7385.200000000001,-0.0005278044687444527,0.07385199999999965,0.9261480000000003
2015-03-25,4603.0,521.9,2259.3,2.6,7384.200000000001,-0.00013540594702921016,0.07384199999999966,0.9261580000000004
2015-03-26,4603.0,522.9,2259.3,2.6,7385.200000000001,0.00013542428428259257,0.07385199999999965,0.9261480000000003
2015-03-27,4603.0,538.6,2259.3,2.6,7400.9,0.002125873368358233,0.07400899999999964,0.9259910000000003
2015-03-30,4603.0,560.3,2259.3,2.6,7422.6,0.0029320758286155435,0.07422599999999965,0.9257740000000003
2015-03-31,4603.0,544.5,2259.3,2.6,7406.8,-0.002128634171314703,0.07406799999999965,0.9259320000000003
2015-04-01,4603.0,549.4,2259.3,2.6,7411.700000000001,0.0006615542474484037,0.07411699999999966,0.9258830000000003
2015-04-02,4603.0,554.4,2259.3,2.6,7416.700000000001,0.0006746090640474822,0.07416699999999966,0.9258330000000004
2015-04-03,4603.0,570.0999999999999,2259.3,2.6,7432.4,0.0021168444186765445,0.07432399999999964,0.9256760000000004
2015-04-07,4603.0,589.8,2259.3,2.6,7452.1,0.002650557020612565,0.07452099999999964,0.9254790000000004
2015-04-08,4603.0,586.9,2259.3,2.6,7449.200000000001,-0.00038915205109968376,0.07449199999999964,0.9255080000000003
2015-04-09,4603.0,580.9,2259.3,2.6,7443.200000000001,-0.0008054556193953788,0.07443199999999964,0.9255680000000004
2015-04-10,4603.0,605.6,2259.3,2.6,7467.9,0.003318465176268104,0.07467899999999962,0.9253210000000004
2015-04-13,4603.0,655.8,2259.3,2.6,7518.1,0.006722103938188839,0.07518099999999962,0.9248190000000004
2015-04-14,4603.0,646.9,2259.3,2.6,7509.200000000001,-0.0011838097391627667,0.07509199999999963,0.9249080000000004
2015-04-15,4603.0,615.4,2259.3,2.6,7477.700000000001,-0.004194854312043916,0.07477699999999964,0.9252230000000004
2015-04-16,4603.0,619.4,2259.3,2.6,7481.700000000001,0.0005349238402183598,0.07481699999999965,0.9251830000000003
2015-04-17,4603.0,623.3,2259.3,2.6,7485.6,0.0005212719034444202,0.07485599999999965,0.9251440000000004
2015-04-20,4603.0,608.5,2259.3,2.6,7470.8,-0.001977129421823265,0.07470799999999965,0.9252920000000003
2015-04-21,4603.0,622.3,2259.3,2.6,7484.6,0.001847191733147735,0.07484599999999965,0.9251540000000004
2015-04-22,4603.0,645.0,2259.3,2.6,7507.3,0.0030328942094433042,0.07507299999999964,0.9249270000000004
2015-04-23,4603.0,660.7,2259.3,2.6,7523.0,0.0020912978034712815,0.07522999999999964,0.9247700000000003
2015-04-24,4603.0,669.6,2259.3,2.6,7531.9,0.0011830386813771465,0.07531899999999965,0.9246810000000003
2015-04-27,4603.0,661.7,2259.3,2.6,7524.0,-0.0010488721305380588,0.07523999999999965,0.9247600000000004
2015-04-28,4603.0,630.1999999999999,2259.3,2.6,7492.5,-0.004186602870813405,0.07492499999999966,0.9250750000000003
2015-04-29,4603.0,639.0,2259.3,2.6,7501.3,0.0011745078411744547,0.07501299999999965,0.9249870000000003
2015-04-30,5063.0,647.9,2259.3,2.6,7970.200000000001,0.06250916507805315,0.07970199999999963,0.9202980000000004
2015-05-04,4869.0,675.5,2259.3,2.6,7803.8,-0.0208777696921032,0.07803799999999964,0.9219620000000004
2015-05-05,4382.0,643.0,2259.3,2.6,7284.3,-0.06657013249955146,0.07284299999999966,0.9271570000000003
2015-05-06,4422.0,634.1,2259.3,2.6,7315.4,0.004269456227777413,0.07315399999999965,0.9268460000000004
